,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,home_team_curr_slg,home_team_prev_slg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,away_team_curr_slg,away_team_prev_slg,fir_result
1348,20180727,CWS,TOR,4.13,4.53,47.2,5.55,3.09,201.0,0.35600000000000004,0.414,0.5242718446601942,0.5925925925925926,0.40299999999999997,0.423,0.455,0.469,0.3762376237623761,0.5740740740740741,0.425,0.419,1
1349,20180727,STL,CHC,4.96,3.88,60.1,3.73,3.17,130.2,0.5,0.512,0.5294117647058824,0.4506172839506173,0.41200000000000003,0.43200000000000005,0.584,0.568,0.5145631067961165,0.6234567901234568,0.433,0.44799999999999995,0
1350,20180727,COL,OAK,3.28,4.04,156.0,3.38,4.37,158.2,0.535,0.537,0.8118811881188119,0.5987654320987654,0.439,0.452,0.583,0.46299999999999997,0.4423076923076923,0.5679012345679012,0.433,0.439,0
1351,20180727,LAA,SEA,3.74,7.06,21.2,3.44,4.5,68.0,0.495,0.494,0.4903846153846154,0.462962962962963,0.42,0.40399999999999997,0.598,0.48100000000000004,0.6862745098039216,0.5,0.419,0.42700000000000005,0
1352,20180727,SD,ARI,6.99,4.73,163.2,3.05,3.18,209.1,0.4,0.43799999999999994,0.5047619047619047,0.5,0.369,0.39899999999999997,0.544,0.574,0.75,0.6666666666666666,0.401,0.452,0
1353,20180727,SF,MIL,3.19,3.32,111.0,3.81,2.74,141.1,0.505,0.395,0.4903846153846154,0.462962962962963,0.39799999999999996,0.386,0.5579999999999999,0.531,0.5142857142857142,0.7037037037037037,0.415,0.436,0
1354,20180728,NYY,KC,2.63,2.98,193.1,3.2,6.0,0.0,0.644,0.562,0.6796116504854369,0.5740740740740741,0.46299999999999997,0.451,0.304,0.494,0.6990291262135923,0.3765432098765432,0.37200000000000005,0.423,0
1355,20180728,STL,CHC,2.82,6.0,0.0,3.87,3.74,84.1,0.5,0.512,0.5242718446601942,0.4506172839506173,0.41200000000000003,0.43200000000000005,0.588,0.568,0.5096153846153846,0.6234567901234568,0.433,0.44799999999999995,1
1356,20180728,DET,CLE,3.77,5.94,33.1,3.43,3.11,121.2,0.423,0.395,0.580952380952381,0.4753086419753086,0.387,0.43,0.545,0.63,0.7254901960784313,0.6419753086419753,0.445,0.45399999999999996,0
1357,20180728,CIN,PHI,4.5,6.7,92.2,4.05,5.12,72.0,0.43700000000000006,0.42,0.4615384615384616,0.6790123456790124,0.408,0.43700000000000006,0.569,0.40700000000000003,0.5288461538461539,0.5123456790123457,0.406,0.415,0
1358,20180728,NYY,KC,3.51,3.69,148.2,2.82,6.0,0.0,0.644,0.562,0.6796116504854369,0.5740740740740741,0.46299999999999997,0.451,0.304,0.494,0.6990291262135923,0.3765432098765432,0.37200000000000005,0.423,1
1359,20180728,PIT,NYM,4.11,4.13,150.1,1.71,3.53,201.1,0.51,0.46299999999999997,0.5047619047619047,0.6172839506172839,0.42100000000000004,0.395,0.43,0.43200000000000005,0.5980392156862745,0.6666666666666666,0.39,0.43799999999999994,0
1360,20180728,BAL,TB,4.54,4.68,186.2,1.86,5.85,20.0,0.282,0.46299999999999997,0.4622641509433962,0.5617283950617284,0.39,0.439,0.515,0.494,0.5480769230769231,0.5246913580246914,0.40299999999999997,0.42700000000000005,0
1361,20180728,ATL,LAD,3.92,3.81,26.0,3.95,2.72,152.1,0.545,0.444,0.5686274509803921,0.4876543209876543,0.43200000000000005,0.42100000000000004,0.5529999999999999,0.642,0.5769230769230769,0.5679012345679012,0.436,0.444,0
1362,20180728,BOS,MIN,3.93,4.65,203.1,4.37,4.14,143.1,0.6829999999999999,0.574,0.5754716981132075,0.5246913580246914,0.462,0.414,0.475,0.525,0.5631067961165048,0.5370370370370371,0.408,0.43799999999999994,1
1363,20180728,HOU,TEX,2.19,1.06,34.0,6.0,6.0,0.0,0.644,0.623,0.4857142857142857,0.5987654320987654,0.434,0.485,0.40399999999999997,0.48100000000000004,0.3809523809523809,0.6604938271604939,0.409,0.433,0
1364,20180728,CWS,TOR,6.09,2.38,45.1,4.31,6.43,21.0,0.353,0.414,0.5192307692307693,0.5925925925925926,0.40700000000000003,0.423,0.455,0.469,0.392156862745098,0.5740740740740741,0.425,0.419,1
1365,20180728,MIA,WAS,4.41,6.0,0.0,3.94,2.96,201.0,0.423,0.475,0.4476190476190477,0.7716049382716049,0.375,0.441,0.5,0.599,0.6153846153846154,0.654320987654321,0.41,0.457,0
1366,20180728,COL,OAK,5.55,4.68,134.2,5.46,5.13,33.1,0.535,0.537,0.8039215686274509,0.5987654320987654,0.439,0.452,0.5870000000000001,0.46299999999999997,0.4380952380952381,0.5679012345679012,0.435,0.439,1
1367,20180728,SD,ARI,4.37,7.71,49.0,3.06,4.08,189.2,0.4,0.43799999999999994,0.5,0.5,0.369,0.39899999999999997,0.5379999999999999,0.574,0.7428571428571429,0.6666666666666666,0.402,0.452,0
1368,20180728,SF,MIL,2.76,4.52,147.1,3.58,3.94,180.1,0.5,0.395,0.4857142857142857,0.462962962962963,0.39799999999999996,0.386,0.562,0.531,0.5094339622641509,0.7037037037037037,0.41700000000000004,0.436,0
1369,20180728,LAA,SEA,3.8,6.0,0.0,5.22,4.36,86.2,0.5,0.494,0.4857142857142857,0.462962962962963,0.424,0.40399999999999997,0.598,0.48100000000000004,0.6796116504854369,0.5,0.419,0.42700000000000005,1
1370,20180729,NYY,KC,4.18,3.53,145.1,5.58,6.0,0.0,0.644,0.562,0.6730769230769231,0.5740740740740741,0.46299999999999997,0.451,0.304,0.494,0.6923076923076923,0.3765432098765432,0.37200000000000005,0.423,1
1371,20180729,BOS,MIN,4.26,6.0,0.0,3.48,3.89,145.2,0.6859999999999999,0.574,0.5794392523364486,0.5246913580246914,0.46299999999999997,0.414,0.47100000000000003,0.525,0.5576923076923077,0.5370370370370371,0.406,0.43799999999999994,0
1372,20180729,BAL,TB,4.57,4.24,169.2,3.78,6.0,0.0,0.28800000000000003,0.46299999999999997,0.4579439252336449,0.5617283950617284,0.392,0.439,0.51,0.494,0.5428571428571428,0.5246913580246914,0.402,0.42700000000000005,1
1373,20180729,DET,CLE,4.1,6.08,160.0,2.88,2.18,210.2,0.419,0.395,0.5754716981132075,0.4753086419753086,0.38799999999999996,0.43,0.5489999999999999,0.63,0.7184466019417476,0.6419753086419753,0.447,0.45399999999999996,1
1374,20180729,CIN,PHI,5.3,3.12,89.1,3.41,6.3,64.1,0.442,0.42,0.4571428571428571,0.6790123456790124,0.409,0.43700000000000006,0.563,0.40700000000000003,0.5238095238095238,0.5123456790123457,0.405,0.415,0
1375,20180729,MIA,WAS,4.63,3.82,169.2,3.44,6.97,51.2,0.419,0.475,0.4433962264150944,0.7716049382716049,0.373,0.441,0.505,0.599,0.6095238095238096,0.654320987654321,0.413,0.457,0
1376,20180729,ATL,LAD,3.41,4.32,100.0,2.43,3.75,74.1,0.54,0.444,0.5631067961165048,0.4876543209876543,0.43,0.42100000000000004,0.5579999999999999,0.642,0.5714285714285714,0.5679012345679012,0.436,0.444,1
1377,20180729,PIT,NYM,3.9,4.77,109.1,4.33,5.21,86.1,0.514,0.46299999999999997,0.5,0.6172839506172839,0.42100000000000004,0.395,0.426,0.43200000000000005,0.5922330097087378,0.6666666666666666,0.39,0.43799999999999994,0
1378,20180729,HOU,TEX,4.01,4.25,118.2,4.83,2.55,77.2,0.638,0.623,0.4811320754716981,0.5987654320987654,0.433,0.485,0.41,0.48100000000000004,0.37735849056603776,0.6604938271604939,0.41200000000000003,0.433,0
1379,20180729,CWS,TOR,3.38,4.15,69.1,2.79,6.0,0.0,0.35,0.414,0.5142857142857142,0.5925925925925926,0.40700000000000003,0.423,0.461,0.469,0.3980582524271845,0.5740740740740741,0.429,0.419,0
1380,20180729,COL,OAK,5.08,4.39,162.0,3.54,7.03,32.0,0.539,0.537,0.7961165048543689,0.5987654320987654,0.439,0.452,0.581,0.46299999999999997,0.4433962264150944,0.5679012345679012,0.434,0.439,0
1381,20180729,SF,MIL,3.99,6.0,0.0,3.13,5.12,70.1,0.495,0.395,0.4811320754716981,0.462962962962963,0.397,0.386,0.5660000000000001,0.531,0.5046728971962616,0.7037037037037037,0.41600000000000004,0.436,1
1382,20180729,LAA,SEA,3.34,4.98,34.1,3.16,5.4,36.2,0.505,0.494,0.490566037735849,0.462962962962963,0.424,0.40399999999999997,0.5920000000000001,0.48100000000000004,0.6730769230769231,0.5,0.419,0.42700000000000005,1
1383,20180729,SD,ARI,3.34,6.0,0.0,2.38,6.0,7.1,0.396,0.43799999999999994,0.4953271028037383,0.5,0.37,0.39899999999999997,0.5429999999999999,0.574,0.7358490566037735,0.6666666666666666,0.402,0.452,1
1384,20180729,STL,CHC,3.44,6.0,17.1,4.05,3.03,139.2,0.505,0.512,0.5769230769230769,0.4506172839506173,0.41200000000000003,0.43200000000000005,0.583,0.568,0.5047619047619047,0.6234567901234568,0.433,0.44799999999999995,1
