date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20170408,SD,SF,24.3,4.68,3.1,117.1,3.86,2.74,7,226.1,0.6226,0.813,0.9174,0.813,1,1,0.25,0.42,0.8,0.537037037,0.25,0.537,0.2,0.401234568,1
20170408,LAA,SEA,4.76,3.21,5.2,73,3.6,3.82,5,153.1,0.703,0.7984,0.6066,0.7984,1,1,0.5,0.457,0.2,0.635802469,0.25,0.531,0,0.598765432,1
20170409,DET,BOS,0,3.38,0,69.1,4.26,3.15,6.1,223,0.8384,0.843,0.6884,0.843,0,1,0.667,0.534,0.25,0.49068323,0.667,0.574,0,0.709876543,1
20170409,TB,TOR,6,3.69,6,187.2,3,3.48,6,176,0.88425,0.782,0.6422,0.782,0,1,0.6,0.42,1.5,0.537037037,0.25,0.549,0.4,0.654320988,1
20170409,PHI,WAS,1.8,3.71,5,189,2.57,3.6,7,147.1,0.6822,0.7568,1.3488,0.7568,0,0,0.25,0.438,3,0.425925926,0.75,0.586,0.6,0.740740741,0
20170409,PIT,ATL,9,3.88,5,116,0,3.21,6,188,0.4758,0.7824,0.5254,0.7824,0,0,0.333,0.481,0,0.641975309,0.25,0.422,0,0.403726708,1
20170409,BAL,NYY,0,6.17,0,54,0,3.91,5,179.2,0.6634,0.7354,0.6578,0.7354,0,0,1,0.549,0.25,0.530864198,0.25,0.519,0.2,0.425925926,0
20170409,MIL,CHC,12.46,3.97,4.1,163.1,0,3.1,6,197.1,0.789,0.6494,0.5694,0.6494,0,0,0.4,0.451,0.333333333,0.543209877,0.5,0.636,0,0.672839506,1
20170409,HOU,KC,1.5,3.22,6,81,54,4.93,0.2,98.2,0.6902,0.8186,0.7482,0.8186,1,0,0.6,0.519,0.333333333,0.592592593,0.25,0.5,0,0.512345679,1
20170409,CWS,MIN,10.12,3.31,5.1,201.1,1.29,3.26,7,188,0.5166,0.7502,0.8546,0.7502,0,0,0.333,0.481,0.75,0.50617284,1,0.364,0,0.481481481,0
20170409,STL,CIN,0,3.01,7.1,197.1,5.79,8.4,4.2,15,0.5114,0.8342,0.6848,0.8342,0,1,0.25,0.531,1,0.425925926,0.75,0.42,0,0.679012346,0
20170409,TEX,OAK,4.5,4.39,6,198.2,6,3.86,6,144.2,1.14725,0.784,0.8166,0.784,0,0,0.25,0.586,1,0.561728395,0.4,0.426,0.166666667,0.388888889,0
20170409,COL,LAD,7.94,3.54,5.2,114.1,5.4,3.5,5,175,0.704,0.86125,0.8916,0.86125,0,1,0.8,0.463,0.333333333,0.635802469,0.6,0.562,0.333333333,0.648148148,1
20170409,LAA,SEA,3.6,3.89,5,159.2,3,4.08,6,198.2,0.7878,0.7984,0.5626,0.7984,1,1,0.6,0.457,0.166666667,0.635802469,0.2,0.531,0.333333333,0.598765432,1
20170409,ARI,CLE,4.5,5.17,4,155,7.5,3.14,6,214.2,0.916,0.7828,0.716,0.7828,0,1,0.8,0.426,0,0.654320988,0.75,0.584,0.4,0.559006211,0
20170409,SD,SF,0,2.52,8,53.2,7.2,2.79,5,219.1,0.8208,0.7538,0.9336,0.7538,0,0,0.4,0.42,0.833333333,0.537037037,0.2,0.537,0.166666667,0.401234568,0
20170409,NYM,MIA,0,2.6,6,183.1,0,5.38,5,189,0.6254,0.7942,0.59125,0.7942,0,0,0.5,0.537,0.2,0.450617284,0.5,0.491,0.6,0.577639752,1
20170410,NYY,TB,9.82,4.83,3.2,175.1,1.59,8.59,5.2,22,0.7096,0.7506,0.78875,0.7506,1,0,0.2,0.519,0.166666667,0.425925926,0.667,0.42,1.285714286,0.537037037,0
20170410,DET,BOS,2.84,3.05,6.1,227,0,3.34,7,226.1,0.689,0.7916,0.6992,0.7916,1,0,0.75,0.534,0.4,0.49068323,0.5,0.574,0,0.709876543,0
20170410,KC,OAK,5.4,3.69,5,195.1,10.38,2.15,4.1,29.1,0.8128,0.7452,0.7824,0.7452,0,1,0.4,0.5,0,0.512345679,0.5,0.426,0.142857143,0.388888889,0
20170410,SF,ARI,5.06,4.08,5.1,68.1,6,4.22,6,134.1,0.8276,0.7912,0.9182,0.7912,1,1,0.167,0.537,0.142857143,0.401234568,0.833,0.426,0,0.654320988,0
20170410,SEA,HOU,0,3.79,6,121,3,4.24,6,17,0.6034,0.8496,0.6476,0.8496,0,1,0.167,0.531,0.428571429,0.598765432,0.5,0.519,0.428571429,0.592592593,0
20170410,PIT,CIN,0,4.24,0,23.1,0,3.98,7,172,0.6568,0.767,0.7488,0.767,1,0,0.5,0.481,0,0.641975309,0.6,0.42,0,0.679012346,1
20170410,PHI,NYM,2.7,3.65,6.2,197.1,0,3.05,6,147.2,0.8532,0.7568,0.5666,0.7568,0,0,0.4,0.438,2.5,0.425925926,0.4,0.537,0.666666667,0.450617284,1
20170410,WAS,STL,3,2.83,6,210,3.6,4.63,5,198.1,1.0052,0.8036,0.615,0.8036,0,1,0.6,0.586,0.5,0.740740741,0.4,0.531,0.833333333,0.425925926,1
20170410,CHC,LAD,1.8,2.44,5,202.2,0,3.73,2,60.1,0.6708,0.7272,0.8638,0.7272,0,0,0.6,0.636,0.666666667,0.672839506,0.5,0.562,0.571428571,0.648148148,0
20170410,COL,SD,6,3.87,6,158,27,6.03,0.2,37.1,0.74325,0.86175,0.7902,0.86175,0,0,0.833,0.463,0.285714286,0.635802469,0.5,0.42,0.714285714,0.537037037,0
20170411,DET,MIN,19.29,4.43,2.1,101.2,1.8,5.58,5,61.1,0.7456,0.843,0.996,0.843,0,0,0.6,0.534,0.333333333,0.49068323,0.833,0.364,0,0.481481481,0
20170411,CLE,CWS,3.18,3.32,5.2,146.1,1.69,6.77,5.1,114.1,0.6244,0.6202,0.5966,0.6202,0,1,0.5,0.584,0.333333333,0.559006211,0.4,0.481,0.6,0.50617284,1
