,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
1684,20180821,MIA,NYY,4.79,6.0,0.0,4.11,4.74,178.1,1,0.75,0.5625,0.82475,1.031,0.01873303594250173,0.02263407418854553,0.048124952105399035,0.04579851672874929,0.397,0.475,0.42063492063492064,0.7716049382716049,0.629,0.562,0.736,0.5740740740740741,0.848,0
1685,20180821,MIL,CIN,3.73,5.12,70.1,5.24,4.45,87.0,0,0.8550000000000001,0.8306000000000001,0.7823999999999999,0.7285999999999999,0.04715494043100752,0.04809500467672227,0.03189879289708852,0.03317089169189896,0.5479999999999999,0.531,0.6220472440944882,0.7037037037037037,0.444,0.42,0.44799999999999995,0.6790123456790124,1.094,1
1686,20180821,CWS,MIN,6.0,6.0,0.0,3.75,3.89,145.2,1,0.732,0.6013999999999999,0.7584000000000001,0.7908000000000001,0.04539558604453253,0.037826293315785665,0.032169177283130436,0.03867565662734773,0.374,0.414,0.488,0.5925925925925926,0.48,0.525,0.504,0.5370370370370371,1.0,0
1687,20180821,COL,SD,4.39,4.81,86.0,3.21,6.0,0.0,0,0.8580000000000001,0.8772499999999999,0.7459999999999999,0.8423999999999999,0.04960963430800728,0.045174268951989734,0.040756391714907934,0.05950664622500594,0.5479999999999999,0.537,0.6854838709677419,0.5987654320987654,0.386,0.43799999999999994,0.4724409448818898,0.5,1.3319999999999999,1
1688,20180821,ARI,LAA,3.12,4.08,189.2,4.35,4.98,34.1,1,0.90175,0.8282499999999999,0.7127499999999999,0.53725,0.052558137691721483,0.04219886768367273,0.02828182768030729,0.03198228351662425,0.552,0.574,0.856,0.6666666666666666,0.5,0.494,0.5634920634920635,0.462962962962963,1.202,1
1689,20180821,OAK,TEX,3.9,5.13,33.1,6.41,6.0,0.0,0,0.8440000000000001,0.693,0.77325,0.7785,0.04342306947959,0.06898076963163678,0.030848433164225506,0.041463507830651364,0.597,0.46299999999999997,0.496,0.5679012345679012,0.444,0.48100000000000004,0.4094488188976378,0.6604938271604939,1.0,1
1690,20180821,LAD,STL,1.77,3.77,126.2,6.0,6.0,0.0,2,0.8597999999999999,0.6814,0.7753333333333332,0.8536666666666667,0.05377041850677673,0.05511150271335066,0.03621581216756365,0.04902724589362358,0.536,0.642,0.5793650793650794,0.5679012345679012,0.544,0.512,0.5476190476190477,0.4506172839506173,0.971,0
1691,20180821,SEA,HOU,4.17,3.2,64.2,3.19,3.0,132.0,1,0.7878000000000001,0.7904,0.8438000000000001,0.9001999999999999,0.030691157822896213,0.03496965634821453,0.04578170268252472,0.046558256985237516,0.568,0.48100000000000004,0.7142857142857143,0.5,0.605,0.623,0.44799999999999995,0.5987654320987654,1.0,0
1692,20180822,TOR,BAL,6.0,6.0,0.0,5.95,6.0,0.0,1,0.7646,0.6242000000000001,0.7704,0.628,0.035679812463384405,0.04950952127231301,0.03402992155394527,0.04033539136523538,0.44799999999999995,0.469,0.4126984126984127,0.5740740740740741,0.29600000000000004,0.46299999999999997,0.4488188976377953,0.5617283950617284,0.946,0
1693,20180822,MIL,CIN,4.48,6.0,0.0,4.68,4.68,84.2,0,0.8495999999999999,0.8306000000000001,0.748,0.6874,0.04737367255206289,0.04809500467672227,0.023446867565648854,0.025486452066892238,0.551,0.531,0.6484375,0.7037037037037037,0.44,0.42,0.4444444444444444,0.6790123456790124,1.094,1
